Date,Exercise,Sets,Repetitions,Weight Avg,Working 1 Rep Max,Percentile
2022/3/27,Machine Tricep Extension,5,14,80,127,35,
2022/3/27,Reverse Grip Bench Press,5,11,120,170,33,
2022/3/27,Shoulder Press,5,9,90,117,32.8,
2022/3/26,Sumo Deadlift,5,9,310,404,63.6,
2022/3/24,Machine Reverse Fly,5,15,70,114,27,
2022/3/24,Machine Bicep Curl,5,12,80,119,41.6,
2022/3/24,Seated Calf Raise,5,13,100,151,26,
2022/3/24,Seated Cable Row,5,12,105,160,26.6,
2022/3/24,Pull Ups,5,10,125,168,7.8,
2022/3/23,Machine Lateral Raise,5,14,65,104,33.4,
2022/3/23,Tricep Pushdown,5,15,70,114,38,
2022/3/23,Dumbbell Shoulder Press,5,11,35,49,20.8,
2022/3/23,Bench Press,5,9,150,198,43.6,
2022/3/21,Deadlift,5,11,260,365,63.4,
2022/3/21,Squat,5,8,275,352,78.2,
2022/3/20,Chin Ups,5,10,125,171,7,
2022/3/20,Pendlay Row,5,9,125,163,29.8,
2022/3/19,Reverse Grip Bench Press,5,10,130,174,35.2,
2022/3/19,Shoulder Press,5,8,95,118,33.4,
2022/3/17,Front Squat,5,11,180,250,59,
2022/3/17,Sumo Deadlift,5,9,315,420,62.2,
2022/3/16,Dumbbell Reverse Fly,5,15,17,27,30,
2022/3/16,Machine Bicep Curl,5,14,75,118,37.8,
2022/3/16,Seated Calf Raise,5,14,95,151,24.4,
2022/3/16,Seated Cable Row,5,11,105,148,21.4,
2022/3/16,Pull Ups,5,9,131,168,6.6,
2022/3/15,Machine Lateral Raise,5,15,60,98,27,
2022/3/15,Tricep Pushdown,3,5,80,91,27.6667,
2022/3/15,Dumbbell Shoulder Press,5,11,35,48,17.8,
2022/3/15,Bench Press,5,9,150,193,37.2,
2022/3/14,Deadlift,5,8,265,329,50,
2022/3/14,Squat,5,10,260,352,74,
2022/3/11,Chin Ups,5,11,130,180,7,
2022/3/11,Pendlay Row,6,9,124,160,26.1667,
2022/3/10,Reverse Grip Bench Press,5,9,130,171,36,
2022/3/10,Shoulder Press,5,7,95,116,34.2,
2022/3/9,Front Squat,5,7,185,225,52.8,
2022/3/9,Sumo Deadlift,5,9,300,398,62.8,
2022/3/8,Seated Cable Row,5,11,105,150,25.6,
2022/3/8,Pull Ups,5,9,130,167,8,
2022/3/7,Dumbbell Shoulder Press,5,10,35,46,18.6,
2022/3/7,Bench Press,5,9,150,193,41.8,
2022/3/6,Deadlift,5,4,265,298,40.6,
2022/3/6,Squat,5,6,265,313,65.6,
2022/3/5,Chin Ups,5,9,130,167,6,
2022/3/5,Pendlay Row,5,11,120,169,32.4,
2022/3/3,Reverse Grip Bench Press,5,8,130,163,32.8,
2022/3/3,Shoulder Press,5,7,100,121,37.8,
2022/3/2,Front Squat,5,5,185,211,44.2,
2022/3/2,Sumo Deadlift,5,10,285,393,59.6,
2022/3/1,Seated Cable Row,5,11,105,149,25.6,
2022/3/1,Pull Ups,5,8,135,169,9.2,
2022/2/28,Dumbbell Shoulder Press,5,7,35,43,14.6,
2022/2/28,Bench Press,5,9,155,200,44.2,
2022/2/27,Seated Cable Row,6,12,85,122,12,
2022/2/27,Pull Ups,6,12,90,129,1,
2022/2/26,Dumbbell Shoulder Press,6,12,22,31,5,
2022/2/26,Bench Press,6,12,115,165,23,
2022/2/22,Sumo Deadlift,5,3,351,370,52.4,
2022/2/20,Pull Ups,9,5,101,118,2.33333,
2022/2/20,Shoulder Press,10,5,88,99,21.4,
2022/2/20,Sumo Deadlift,10,5,270,316,31.3,
2022/2/18,Pendlay Row,10,5,103,119,7.2,
2022/2/18,Bench Press,10,4,141,157,17.4,
2022/2/18,Squat,9,4,246,277,44,
2022/2/16,Dumbbell Shoulder Press,9,5,28,33,5.33333,
2022/2/16,Deadlift,10,5,225,258,21.4,
2022/2/16,Chin Ups,10,5,139,156,2.5,
2022/2/14,Reverse Grip Bench Press,9,6,95,113,11.5556,
2022/2/14,Front Squat,10,6,141,166,16.5,
2022/2/14,Seated Cable Row,10,5,94,109,8.3,
2022/2/12,Shoulder Press,10,5,79,90,12.8,
2022/2/12,Sumo Deadlift,10,6,256,303,22.8,
2022/2/12,Pull Ups,10,6,102,121,1.1,
2022/2/9,Bench Press,10,5,131,148,14.1,
2022/2/9,Squat,10,5,230,264,38,
2022/2/9,Pendlay Row,10,6,94,112,5.8,
2022/1/31,Chin Ups,10,8,116,144,2,
2022/1/31,Dumbbell Shoulder Press,10,9,15,19,0.9,
2022/1/31,Deadlift,10,7,195,238,17.9,
2022/1/28,Reverse Grip Bench Press,10,9,83,108,11.4,
2022/1/28,Seated Cable Row,10,8,83,105,7.3,
2022/1/28,Front Squat,10,9,116,148,12.6,
2022/1/26,Pull Ups,10,8,83,105,0.9,
2022/1/26,Shoulder Press,10,8,67,83,10.3,
2022/1/26,Sumo Deadlift,10,7,218,259,14.9,
2022/1/24,Pendlay Row,10,8,83,104,4.2,
2022/1/24,Bench Press,10,8,114,140,11.8,
2022/1/24,Squat,10,8,199,250,32.4,
2022/1/22,Deadlift,9,7,192,241,17.5556,
2022/1/22,Chin Ups,9,7,116,142,1.44444,
2022/1/22,Dumbbell Shoulder Press,9,9,15,20,0.888889,
2022/1/20,Reverse Grip Bench Press,9,9,82,107,10.7778,
2022/1/20,Front Squat,9,8,115,143,10.7778,
2022/1/20,Seated Cable Row,9,8,83,103,6.55556,
2022/1/18,Shoulder Press,9,7,66,81,9.11111,
2022/1/18,Sumo Deadlift,9,6,217,251,12.1111,
2022/1/18,Pull Ups,9,8,82,107,1.11111,
2022/1/16,Bench Press,9,8,113,139,11.2222,
2022/1/16,Squat,9,7,217,260,37.1111,
2022/1/16,Pendlay Row,9,8,82,103,3.77778,
2022/1/11,Chin Ups,8,7,117,141,1.125,
2022/1/11,Deadlift,8,7,191,230,15.125,
2022/1/11,Dumbbell Shoulder Press,8,9,14,19,0.75,
2022/1/9,Front Squat,8,8,113,145,10.875,
2022/1/9,Reverse Grip Bench Press,8,9,81,108,10.75,
2022/1/9,Seated Cable Row,9,8,85,104,6.66667,
2022/1/7,Sumo Deadlift,8,6,215,252,12,
2022/1/7,Pull Ups,8,8,84,105,0.25,
